car_id,odometer,soc_real,soc_display,vehicle_speed,charge_status,key_status,xcord,ycord
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.975136,37.835495
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.974416,37.835743
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.974999,37.835548
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.974856,37.835603
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.975264,37.835431
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.975536,37.835299
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.975399,37.835372
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.974712,37.835652
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.974127,37.835839
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.97456,37.835695
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.960288,37.852972
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.9602,37.853096
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.960095,37.85322
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.959568,37.853783
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.959672,37.853679
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.95944,37.853879
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.959288,37.85396
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.959136,37.854036
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.958976,37.854104
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.958808,37.854168
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.958631,37.854232
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.958096,37.854376
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.958288,37.854331
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.958464,37.854284
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.95792,37.854412
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.956976,37.854599
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.957352,37.854523
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.957728,37.854452
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.957536,37.854488
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.95716,37.854559
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.956791,37.854644
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.956096,37.854888
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.956608,37.854695
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.956264,37.854816
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.955616,37.855159
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.955776,37.855063
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.95644,37.854751
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.955935,37.854968
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.954896,37.855792
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.954688,37.856119
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.955327,37.855359
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.954624,37.856268
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.955096,37.855572
KMHC751HFJU014636,11672,94,99.5,6,0,1,126.954744,37.85602
KMHC751HFJU014636,11672,94,99.5,7,0,1,126.95464,37.856203
KMHC751HFJU014636,11672,94,99.5,7,0,1,126.955472,37.85526
KMHC751HFJU014636,11672,94,99.5,7,0,1,126.954815,37.855907
KMHC751HFJU014636,11672,94,99.5,8,0,1,126.9552,37.855463
KMHC751HFJU014636,11672,94,99.5,8,0,1,126.954984,37.855683
KMHC751HFJU014636,11672,94,99.5,9,0,1,126.954607,37.856312
KMHC751HFJU014636,11672,94,99.5,8,0,1,126.954592,37.856347
KMHC751HFJU014636,11672,94,99.5,5,0,1,126.954552,37.856468
KMHC751HFJU014636,11672,94,99.5,4,0,1,126.954567,37.85642
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.954536,37.856515
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.954584,37.856375
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.954504,37.856687
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.954504,37.856628
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.954528,37.856563
KMHC751HFJU014636,11672,94,99.5,2,0,1,126.954504,37.856727
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.954504,37.856659
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.954511,37.856596
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.954584,37.856856
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.954696,37.856912
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.954768,37.856928
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.954944,37.856952
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.954544,37.856819
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.954848,37.856935
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.95452,37.856771
KMHC751HFJU014636,11672,94,99.5,1,0,1,126.954624,37.856887
KMHC751HFJU014636,11672,94,99.5,3,0,1,126.95504,37.856963
KMHC751HFJU014636,11672,94,99.5,5,0,1,126.955544,37.857044
KMHC751HFJU014636,11672,94,99.5,8,0,1,126.955448,37.857028
KMHC751HFJU014636,11672,94,99.5,11,0,1,126.95564,37.857064
KMHC751HFJU014636,11672,94,99,15,0,1,126.95592,37.857171
KMHC751HFJU014636,11672,94,99,18,0,1,126.956008,37.857219
KMHC751HFJU014636,11672,94,99,22,0,1,126.955832,37.857128
KMHC751HFJU014636,11672,94,99,26,0,1,126.955736,37.857087
KMHC751HFJU014636,11672,94,99,29,0,1,126.956272,37.857388
KMHC751HFJU014636,11672,94,99,31,0,1,126.956543,37.857604
KMHC751HFJU014636,11672,94,99,33,0,1,126.956447,37.857528
KMHC751HFJU014636,11672,94,99,35,0,1,126.956104,37.857267
KMHC751HFJU014636,11672,94,99,36,0,1,126.956368,37.85746
KMHC751HFJU014636,11672,94,99,38,0,1,126.956192,37.857328
KMHC751HFJU014636,11672,94,99,39,0,1,126.95704,37.858004
KMHC751HFJU014636,11672,94,99,40,0,1,126.956744,37.857764
KMHC751HFJU014636,11672,94,99,40,0,1,126.956936,37.857923
KMHC751HFJU014636,11672,94,99,41,0,1,126.956639,37.857683
KMHC751HFJU014636,11672,94,99,41,0,1,126.95684,37.85784
KMHC751HFJU014636,11672,94,99,42,0,1,126.957432,37.858319
KMHC751HFJU014636,11672,94,99,43,0,1,126.957336,37.858243
KMHC751HFJU014636,11672,94,99,43,0,1,126.957136,37.858083
KMHC751HFJU014636,11672,94,99,44,0,1,126.957544,37.858392
KMHC751HFJU014636,11672,94,99,44,0,1,126.957719,37.858511
KMHC751HFJU014636,11672,94,99,44,0,1,126.9578,37.858552
KMHC751HFJU014636,11672,94,99,45,0,1,126.95724,37.858164
KMHC751HFJU014636,11672,94,99,47,0,1,126.957632,37.85846
KMHC751HFJU014636,11672,94,99,46,0,1,126.957864,37.858572
KMHC751HFJU014636,11672,94,99,46,0,1,126.95796,37.85864
KMHC751HFJU014636,11672,94,99,45,0,1,126.95796,37.858663
KMHC751HFJU014636,11672,94,99,45,0,1,126.957944,37.858612
KMHC751HFJU014636,11672,94,99,45,0,1,126.957936,37.858691
KMHC751HFJU014636,11672,94,99,45,0,1,126.957911,37.858587
KMHC751HFJU014636,11672,94,99,45,0,1,126.957911,37.858719
KMHC751HFJU014636,11672,94,99,45,0,1,126.957864,37.858747
KMHC751HFJU014636,11672,94,99,44,0,1,126.957824,37.858772
KMHC751HFJU014636,11672,94,99,44,0,1,126.957736,37.858808
KMHC751HFJU014636,11672,94,99,43,0,1,126.957696,37.85882
KMHC751HFJU014636,11672,94,99,43,0,1,126.957784,37.858792
KMHC751HFJU014636,11672,94,99,42,0,1,126.95764,37.858832
KMHC751HFJU014636,11672,94,99,40,0,1,126.957592,37.858848
KMHC751HFJU014636,11672,94,99,39,0,1,126.957432,37.858868
KMHC751HFJU014636,11672,93.5,99,38,0,1,126.957544,37.85886
KMHC751HFJU014636,11672,93.5,99,38,0,1,126.957264,37.858863
KMHC751HFJU014636,11672,93.5,99,37,0,1,126.957312,37.858863
KMHC751HFJU014636,11672,93.5,99,36,0,1,126.957376,37.858868
KMHC751HFJU014636,11672,93.5,99,34,0,1,126.957168,37.858876
KMHC751HFJU014636,11672,93.5,99,33,0,1,126.957488,37.858863
KMHC751HFJU014636,11672,93.5,99,31,0,1,126.957224,37.858868
KMHC751HFJU014636,11672,93.5,99,30,0,1,126.957112,37.858896
KMHC751HFJU014636,11672,93.5,99,28,0,1,126.957055,37.858911
KMHC751HFJU014636,11672,93.5,99,27,0,1,126.957008,37.858927
KMHC751HFJU014636,11672,93.5,99,27,0,1,126.956856,37.859008
